Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SME0221;Introdução à Inferência Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;37;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/BCDados
SME0221;Introdução à Inferência Estatística;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;37;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/BCDados
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;ICMC - Matemática – Núcleo Geral;2;2;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;ICMC - Bach Mat Aplic Computação Cient;2;2;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
SME0230;Introdução à Programação de Computadores;2025101;Teórica Vinculada;S;24/02/2025;07/07/2025;60;0;;;;;4;4;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC/MAT-NG
SME0243;Teoria Espectral de Matrizes;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;23;ICMC - Bach Mat Aplic Computação Cient;70;23;0;0;;;;0;0;;;;0;0;0;0;BMACC
SME0243;Teoria Espectral de Matrizes;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;23;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC
SME0243;Teoria Espectral de Matrizes;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;23;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC
SME0253;Mecânica dos Fluidos Computacional II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;70;0;ICMC - Bach Mat Aplic Computação Cient;70;0;0;0;;;;0;0;0;0;BMACC
SME0253;Mecânica dos Fluidos Computacional II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;70;0;;;;0;0;;;;0;0;0;0;BMACC
SME0253;Mecânica dos Fluidos Computacional II;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;70;0;;;;0;0;;;;0;0;0;0;BMACC
SME0273;Prática em Matemática Aplicada e Computação Científica;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;0;0;;;;70;1;ICMC - todos exceto Bach Mat. Aplic. Computação Científica;70;1;0;0;;;;0;0;0;0;BMACC
SME0273;Prática em Matemática Aplicada e Computação Científica;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;0;0;;;;70;1;;;;0;0;;;;0;0;0;0;BMACC
SME0273;Prática em Matemática Aplicada e Computação Científica;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;0;0;;;;70;1;;;;0;0;;;;0;0;0;0;BMACC
SME0280;Acompanhamento Profissional;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;10;2;ICMC - Bach Mat Aplic Computação Cient;10;2;0;0;;;;0;0;;;;0;0;0;0;BMACC
SME0280;Acompanhamento Profissional;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;10;2;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC
SME0280;Acompanhamento Profissional;2025101;Teórica;S;24/02/2025;07/07/2025;30;0;;;;;10;2;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC
SME0284;Estágio Supervisionado;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC (Matrícula por requerimento)
SME0284;Estágio Supervisionado;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC (Matrícula por requerimento)
SME0285;Trabalho de Conclusão de Curso;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC (Matrícula por requerimento)
SME0285;Trabalho de Conclusão de Curso;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;0;0;;;;0;0;;;;0;0;;;;0;0;0;0;BMACC (Matrícula por requerimento)
SME0300;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;55;EESC - Engenharia Mecânica;70;55;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecânica
SME0300;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;55;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecânica
SME0300;Cálculo Numérico;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;55;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecânica
SME0300;Cálculo Numérico;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;45;EESC - Engenharia Aeronáutica;70;45;0;0;;;;0;0;;;;0;0;0;0;Engenharia Aeronáutica
SME0300;Cálculo Numérico;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;45;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Aeronáutica
SME0300;Cálculo Numérico;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;45;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Aeronáutica
SME0300;Cálculo Numérico;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;EESC - Engenharia de Produção;70;41;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0300;Cálculo Numérico;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0300;Cálculo Numérico;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;41;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Produção
SME0300;Cálculo Numérico;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;46;EESC - Engenharia Mecatrônica;70;46;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecatrônica
SME0300;Cálculo Numérico;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;46;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecatrônica
SME0300;Cálculo Numérico;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;46;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Mecatrônica
SME0305;Métodos Numéricos e Computacionais I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;56;EESC - Engenharia Civil;70;56;0;0;;;;0;0;;;;0;0;0;0;Engenharia Civil
SME0305;Métodos Numéricos e Computacionais I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;56;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Civil
SME0305;Métodos Numéricos e Computacionais I;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;56;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia Civil
SME0305;Métodos Numéricos e Computacionais I;2025102;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;70;53;EESC - Engenharia de Materiais e Manufatura;70;53;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Materiais e Manufatura
