Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
5500004;Fundamentos em Ciências de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;0;ICMC - Bacharelado em Ciência de Dados;2;0;0;0;;;;0;0;;;;0;0;0;0;BCDados
5500004;Fundamentos em Ciências de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;0;;;;0;0;;;;0;0;;;;0;0;0;0;BCDados
5500004;Fundamentos em Ciências de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;60;0;;;;0;0;;;;0;0;;;;0;0;0;0;BCDados
5500005;Informação Profissional em Ciência de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;15;0;;;;;30;3;ICMC - Bacharelado em Ciência de Dados;30;3;0;0;;;;0;0;;;;0;0;0;0;BCDados
5500005;Informação Profissional em Ciência de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;15;0;;;;;30;3;;;;0;0;;;;0;0;;;;0;0;0;0;BCDados
5500005;Informação Profissional em Ciência de Dados;2025101;Teórica;S;24/02/2025;07/07/2025;15;0;;;;;30;3;;;;0;0;;;;0;0;;;;0;0;0;0;BCDados
