Disciplina;Nome;Turma;Tipo;Oferece 2a avaliação?;Início;Fim;Carga teórica;Carga prática;Dia da semana;Entrada;Saída;Prof(a);Vagas obrigatórias;Inscritos;Vínculo;Vagas;Inscritos;Vagas eletivas;Inscritos;Vínculo;Vagas;Inscritos;Vagas optativas livres;Inscritos;Vínculo;Vagas;Inscritos;Vagas especiais;Inscritos;Vagas extras;Inscritos;Observação
SMA0300;Geometria Analítica;2025103;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;90;7;;;;0;0;;;;0;0;;;;0;0;0;0;Engenharia de Computação e Aeronáutica (Campus II)
SMA0300;Geometria Analítica;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;90;16;EESC - Engenharia Ambiental;40;4;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental + Materiais e Manufatura (campus II).
SMA0300;Geometria Analítica;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;90;16;EESC - Engenharia de Materiais e Manufatura;50;12;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental + Materiais e Manufatura (campus II).
SMA0300;Geometria Analítica;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;90;16;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental + Materiais e Manufatura (campus II).
SMA0300;Geometria Analítica;2025104;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;90;16;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Ambiental + Materiais e Manufatura (campus II).
SMA0300;Geometria Analítica;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;4;EESC - Engenharia Civil;65;4;0;0;;;;0;0;;;;0;0;0;0;Eng. Civil
SMA0300;Geometria Analítica;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;4;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Civil
SMA0300;Geometria Analítica;2025105;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;65;4;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Civil
SMA0300;Geometria Analítica;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;100;19;EESC - Eng Elétrica - Ênf Eletrônica;50;13;0;0;;;;0;0;;;;0;0;0;0;Eng. Eletrônica + Automação
SMA0300;Geometria Analítica;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;100;19;EESC - Eng Elétrica - Ênf Sist Energia e Autom;50;6;0;0;;;;0;0;;;;0;0;0;0;Eng. Eletrônica + Automação
SMA0300;Geometria Analítica;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;100;19;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Eletrônica + Automação
SMA0300;Geometria Analítica;2025106;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;100;19;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Eletrônica + Automação
SMA0300;Geometria Analítica;2025107;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;7;EESC - Engenharia Mecânica;50;4;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecânica + Produção
SMA0300;Geometria Analítica;2025107;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;7;EESC - Engenharia de Produção;25;3;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecânica + Produção
SMA0300;Geometria Analítica;2025107;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;7;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecânica + Produção
SMA0300;Geometria Analítica;2025107;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;7;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecânica + Produção
SMA0300;Geometria Analítica;2025108;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;16;EESC - Engenharia de Produção;25;6;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecatrônica + Produção
SMA0300;Geometria Analítica;2025108;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;16;EESC - Engenharia Mecatrônica;50;10;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecatrônica + Produção
SMA0300;Geometria Analítica;2025108;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;16;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecatrônica + Produção
SMA0300;Geometria Analítica;2025108;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;75;16;;;;0;0;;;;0;0;;;;0;0;0;0;Eng. Mecatrônica + Produção
SMA0300;Geometria Analítica;2025109;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;120;34;IFSC -  para toda a Unidade;120;34;0;0;;;;0;0;;;;0;0;0;0;IFSC
SMA0300;Geometria Analítica;2025109;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;120;34;;;;0;0;;;;0;0;;;;0;0;0;0;IFSC
SMA0300;Geometria Analítica;2025109;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;120;34;;;;0;0;;;;0;0;;;;0;0;0;0;IFSC
SMA0300;Geometria Analítica;2025110;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;3;IQSC -  para toda a Unidade;130;3;0;0;;;;0;0;;;;0;0;0;0;IQSC
SMA0300;Geometria Analítica;2025110;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;3;;;;0;0;;;;0;0;;;;0;0;0;0;IQSC
SMA0300;Geometria Analítica;2025110;Teórica;S;24/02/2025;07/07/2025;60;0;;;;;130;3;;;;0;0;;;;0;0;;;;0;0;0;0;IQSC
SMA0301;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;90;0;;;;;14;14;ICMC - Matemática – Núcleo Geral;2;2;0;0;;;;0;0;;;;0;0;0;0;Matemática (NG e Aplicada)
SMA0301;Cálculo I;2025101;Teórica;S;24/02/2025;07/07/2025;90;0;;;;;14;14;ICMC - Bach Mat Aplic Computação Cient;12;12;0;0;;;;0;0;;;;0;0;0;0;Matemática (NG e Aplicada)
